,EXPERIMENT,SEED,RAM,TERM,HAM_LOS,PREC,REC,F1
0,20220411165623.0,2.0,5.0,5.0,0.20833333333333334,0.5,0.4,0.4444444444444445
1,20220411165623.0,1.0,5.0,5.0,0.25,0.25,0.25,0.25
2,20220411165623.0,0.0,5.0,5.0,0.3333333333333333,0.0,0.0,0.0
3,20220411165623.0,2.0,5.0,4.0,0.25,0.0,0.0,0.0
4,20220411165623.0,1.0,5.0,4.0,0.25,0.25,0.25,0.25
5,20220411165623.0,0.0,5.0,4.0,0.3333333333333333,0.0,0.0,0.0
6,20220411165623.0,2.0,5.0,3.0,0.20833333333333334,0.0,0.0,0.0
7,20220411165623.0,1.0,5.0,3.0,0.25,0.25,0.25,0.25
8,20220411165623.0,0.0,5.0,3.0,0.3333333333333333,0.0,0.0,0.0
9,20220411165623.0,2.0,4.0,5.0,0.25,0.3333333333333333,0.2,0.25
10,20220411165623.0,1.0,4.0,5.0,0.25,0.25,0.25,0.25
11,20220411165623.0,0.0,4.0,5.0,0.25,0.25,0.25,0.25
12,20220411165623.0,2.0,4.0,4.0,0.25,0.3333333333333333,0.2,0.25
13,20220411165623.0,1.0,4.0,4.0,0.16666666666666666,0.5,0.5,0.5
14,20220411165623.0,0.0,4.0,4.0,0.3333333333333333,0.0,0.0,0.0
15,20220411165623.0,2.0,4.0,3.0,0.16666666666666666,1.0,0.2,0.33333333333333337
16,20220411165623.0,1.0,4.0,3.0,0.25,0.3333333333333333,0.5,0.4
17,20220411165623.0,0.0,4.0,3.0,0.3333333333333333,0.0,0.0,0.0
18,20220411165623.0,2.0,3.0,5.0,0.16666666666666666,0.6666666666666666,0.4,0.5
19,20220411165623.0,1.0,3.0,5.0,0.25,0.25,0.25,0.25
20,20220411165623.0,0.0,3.0,5.0,0.3333333333333333,0.0,0.0,0.0
21,20220411165623.0,2.0,3.0,4.0,0.20833333333333334,0.0,0.0,0.0
22,20220411165623.0,1.0,3.0,4.0,0.16666666666666666,0.5,0.5,0.5
23,20220411165623.0,0.0,3.0,4.0,0.3333333333333333,0.0,0.0,0.0
24,20220411165623.0,2.0,3.0,3.0,0.25,0.0,0.0,0.0
25,20220411165623.0,1.0,3.0,3.0,0.25,0.25,0.25,0.25
26,20220411165623.0,0.0,3.0,3.0,0.3333333333333333,0.0,0.0,0.0
