,SEED,RAM,TERM,HAM_LOS,PREC,REC,F1
40,0.0,12.0,14.0,0.16161616161616163,0.7647058823529411,0.3170731707317073,0.4482758620689655
41,0.0,12.0,13.0,0.18181818181818182,0.631578947368421,0.2926829268292683,0.39999999999999997
42,0.0,12.0,12.0,0.16666666666666666,0.6818181818181818,0.36585365853658536,0.47619047619047616
43,0.0,12.0,11.0,0.18181818181818182,0.5925925925925926,0.3902439024390244,0.47058823529411764
44,0.0,12.0,10.0,0.21212121212121213,0.47619047619047616,0.24390243902439024,0.3225806451612903
45,0.0,12.0,9.0,0.21212121212121213,0.48148148148148145,0.3170731707317073,0.3823529411764706
46,0.0,12.0,8.0,0.19696969696969696,0.5416666666666666,0.3170731707317073,0.39999999999999997
47,0.0,12.0,7.0,0.19696969696969696,0.5384615384615384,0.34146341463414637,0.41791044776119407
48,0.0,12.0,6.0,0.21717171717171718,0.4722222222222222,0.4146341463414634,0.4415584415584415
49,0.0,12.0,5.0,0.2222222222222222,0.45454545454545453,0.36585365853658536,0.40540540540540543
50,0.0,12.0,4.0,0.20707070707070707,0.5,0.34146341463414637,0.40579710144927533
51,0.0,12.0,3.0,0.21212121212121213,0.46153846153846156,0.14634146341463414,0.2222222222222222
52,0.0,11.0,15.0,0.18181818181818182,0.6923076923076923,0.21951219512195122,0.3333333333333333
53,0.0,11.0,14.0,0.16666666666666666,0.75,0.2926829268292683,0.4210526315789473
54,0.0,11.0,13.0,0.16666666666666666,0.6666666666666666,0.3902439024390244,0.4923076923076923
55,0.0,11.0,12.0,0.16666666666666666,0.7,0.34146341463414637,0.4590163934426229
56,0.0,11.0,11.0,0.18181818181818182,0.6086956521739131,0.34146341463414637,0.4375
57,0.0,11.0,10.0,0.20202020202020202,0.5217391304347826,0.2926829268292683,0.375
58,0.0,11.0,9.0,0.23232323232323232,0.4074074074074074,0.2682926829268293,0.3235294117647059
59,0.0,11.0,8.0,0.20202020202020202,0.52,0.3170731707317073,0.3939393939393939
60,0.0,11.0,7.0,0.21212121212121213,0.4827586206896552,0.34146341463414637,0.4000000000000001
61,0.0,11.0,6.0,0.21212121212121213,0.4838709677419355,0.36585365853658536,0.4166666666666667
62,0.0,11.0,5.0,0.21717171717171718,0.46875,0.36585365853658536,0.410958904109589
63,0.0,11.0,4.0,0.21717171717171718,0.4666666666666667,0.34146341463414637,0.3943661971830986
64,0.0,11.0,3.0,0.21212121212121213,0.46153846153846156,0.14634146341463414,0.2222222222222222
65,0.0,10.0,15.0,0.17676767676767677,0.6875,0.2682926829268293,0.38596491228070173
66,0.0,10.0,14.0,0.16666666666666666,0.75,0.2926829268292683,0.4210526315789473
67,0.0,10.0,13.0,0.18181818181818182,0.6190476190476191,0.3170731707317073,0.4193548387096774
68,0.0,10.0,12.0,0.16666666666666666,0.6818181818181818,0.36585365853658536,0.47619047619047616
69,0.0,10.0,11.0,0.18686868686868688,0.5833333333333334,0.34146341463414637,0.43076923076923085
70,0.0,10.0,10.0,0.1919191919191919,0.56,0.34146341463414637,0.42424242424242425
71,0.0,10.0,9.0,0.21212121212121213,0.48,0.2926829268292683,0.3636363636363636
72,0.0,10.0,8.0,0.19696969696969696,0.5416666666666666,0.3170731707317073,0.39999999999999997
73,0.0,10.0,7.0,0.20202020202020202,0.5185185185185185,0.34146341463414637,0.411764705882353
74,0.0,10.0,6.0,0.21717171717171718,0.47058823529411764,0.3902439024390244,0.4266666666666667
75,0.0,10.0,5.0,0.2222222222222222,0.45161290322580644,0.34146341463414637,0.3888888888888889
76,0.0,10.0,4.0,0.21717171717171718,0.4642857142857143,0.3170731707317073,0.3768115942028986
77,0.0,10.0,3.0,0.20202020202020202,0.5555555555555556,0.12195121951219512,0.2
78,0.0,9.0,15.0,0.17676767676767677,0.7142857142857143,0.24390243902439024,0.36363636363636365
79,0.0,9.0,14.0,0.16161616161616163,0.8,0.2926829268292683,0.4285714285714285
80,0.0,9.0,13.0,0.17676767676767677,0.65,0.3170731707317073,0.42622950819672134
81,0.0,9.0,12.0,0.16666666666666666,0.6818181818181818,0.36585365853658536,0.47619047619047616
82,0.0,9.0,11.0,0.1717171717171717,0.6521739130434783,0.36585365853658536,0.46874999999999994
83,0.0,9.0,10.0,0.21717171717171718,0.4583333333333333,0.2682926829268293,0.3384615384615385
84,0.0,9.0,9.0,0.20202020202020202,0.5217391304347826,0.2926829268292683,0.375
85,0.0,9.0,8.0,0.18686868686868688,0.5833333333333334,0.34146341463414637,0.43076923076923085
86,0.0,9.0,7.0,0.19696969696969696,0.5333333333333333,0.3902439024390244,0.4507042253521127
87,0.0,9.0,6.0,0.22727272727272727,0.4411764705882353,0.36585365853658536,0.4
88,0.0,9.0,5.0,0.22727272727272727,0.4444444444444444,0.3902439024390244,0.4155844155844156
89,0.0,9.0,4.0,0.23232323232323232,0.41935483870967744,0.3170731707317073,0.3611111111111111
90,0.0,9.0,3.0,0.21212121212121213,0.46153846153846156,0.14634146341463414,0.2222222222222222
91,0.0,8.0,15.0,0.18181818181818182,0.6470588235294118,0.2682926829268293,0.3793103448275862
92,0.0,8.0,14.0,0.1717171717171717,0.7058823529411765,0.2926829268292683,0.41379310344827586
93,0.0,8.0,13.0,0.16161616161616163,0.7142857142857143,0.36585365853658536,0.4838709677419355
94,0.0,8.0,12.0,0.1717171717171717,0.6666666666666666,0.34146341463414637,0.4516129032258065
95,0.0,8.0,11.0,0.1919191919191919,0.5555555555555556,0.36585365853658536,0.4411764705882353
96,0.0,8.0,10.0,0.20202020202020202,0.5238095238095238,0.2682926829268293,0.3548387096774194
97,0.0,8.0,9.0,0.21717171717171718,0.46153846153846156,0.2926829268292683,0.35820895522388063
98,0.0,8.0,8.0,0.1919191919191919,0.5652173913043478,0.3170731707317073,0.40625
99,0.0,8.0,7.0,0.19696969696969696,0.5333333333333333,0.3902439024390244,0.4507042253521127
100,0.0,8.0,6.0,0.2222222222222222,0.45454545454545453,0.36585365853658536,0.40540540540540543
101,0.0,8.0,5.0,0.21717171717171718,0.46875,0.36585365853658536,0.410958904109589
102,0.0,8.0,4.0,0.21212121212121213,0.4827586206896552,0.34146341463414637,0.4000000000000001
103,0.0,8.0,3.0,0.20202020202020202,0.5555555555555556,0.12195121951219512,0.2
104,0.0,7.0,15.0,0.18181818181818182,0.6666666666666666,0.24390243902439024,0.35714285714285715
