,SEED,RAM,TERM,HAM_LOS,PREC,REC,F1
0,1.0,15.0,15.0,0.20202020202020202,0.5833333333333334,0.16666666666666666,0.25925925925925924
1,1.0,15.0,14.0,0.19696969696969696,0.6,0.21428571428571427,0.3157894736842105
2,1.0,15.0,13.0,0.17676767676767677,0.7333333333333333,0.2619047619047619,0.38596491228070173
3,1.0,15.0,12.0,0.20707070707070707,0.5454545454545454,0.14285714285714285,0.22641509433962262
4,1.0,15.0,11.0,0.19696969696969696,0.5714285714285714,0.2857142857142857,0.38095238095238093
5,1.0,15.0,10.0,0.1919191919191919,0.625,0.23809523809523808,0.3448275862068965
6,1.0,15.0,9.0,0.17676767676767677,0.7058823529411765,0.2857142857142857,0.4067796610169491
7,1.0,15.0,8.0,0.23232323232323232,0.42857142857142855,0.2857142857142857,0.34285714285714286
8,1.0,15.0,7.0,0.18181818181818182,0.6153846153846154,0.38095238095238093,0.47058823529411764
9,1.0,15.0,6.0,0.22727272727272727,0.4482758620689655,0.30952380952380953,0.3661971830985915
10,1.0,15.0,5.0,0.2222222222222222,0.46153846153846156,0.2857142857142857,0.35294117647058826
11,1.0,15.0,4.0,0.2222222222222222,0.4642857142857143,0.30952380952380953,0.3714285714285715
12,1.0,15.0,3.0,0.23737373737373738,0.2727272727272727,0.07142857142857142,0.11320754716981131
13,1.0,14.0,15.0,0.18181818181818182,0.75,0.21428571428571427,0.3333333333333333
14,1.0,14.0,14.0,0.19696969696969696,0.6153846153846154,0.19047619047619047,0.2909090909090909
15,1.0,14.0,13.0,0.18686868686868688,0.6666666666666666,0.23809523809523808,0.3508771929824562
16,1.0,14.0,12.0,0.1919191919191919,0.6428571428571429,0.21428571428571427,0.32142857142857145
17,1.0,14.0,11.0,0.18181818181818182,0.6666666666666666,0.2857142857142857,0.4
18,1.0,14.0,10.0,0.1919191919191919,0.6,0.2857142857142857,0.3870967741935483
19,1.0,14.0,9.0,0.1717171717171717,0.7222222222222222,0.30952380952380953,0.4333333333333334
20,1.0,14.0,8.0,0.20202020202020202,0.5384615384615384,0.3333333333333333,0.41176470588235287
